Classification,Year,Period,Period.Desc.,Aggregate.Level,Is.Leaf.Code,Trade.Flow.Code,Trade.Flow,Reporter.Code,Reporter,Reporter.ISO,Partner.Code,Partner,Partner.ISO,X2nd.Partner.Code,X2nd.Partner,X2nd.Partner.ISO,Customs.Proc..Code,Customs,Mode.of.Transport.Code,Mode.of.Transport,Commodity.Code,Commodity,Qty.Unit.Code,Qty.Unit,Qty,Alt.Qty.Unit.Code,Alt.Qty.Unit,Alt.Qty,Netweight..kg.,Gross.weight..kg.,Trade.Value.(US$),CIF.Trade.Value..US..,FOB.Trade.Value..US..,Flag
H5,2018,2018,2018,0,0,2,Export,191,Croatia,HRV,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,17210469290,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,196,Cyprus,CYP,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,10809450300,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,196,Cyprus,CYP,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5064927294,NA,NA,4
H5,2018,2018,2018,0,0,3,Re-Export,196,Cyprus,CYP,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,3197066834,NA,NA,0
H5,2018,2018,2018,0,0,1,Import,203,Czechia,CZE,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1.85E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,203,Czechia,CZE,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,2.03E+11,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,208,Denmark,DNK,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.02E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,208,Denmark,DNK,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.09E+11,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,214,Dominican Rep.,DOM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,22181079864,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,214,Dominican Rep.,DOM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,9395611281,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,218,Ecuador,ECU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,23019652623,NA,NA,4
